id,objectiveId,relation,targetFramework,targetCode,targetId,reviewStatus,sourceTopicId,sourceStandardKey
https://education.asfai.org/alignments/02bf567a-2c7f-5ee1-97bc-ec6aa9ce0f21,https://education.asfai.org/objectives/9feaba76-dcfd-5100-99c9-ba1cc187e973,relatedTo,uk-nc-2013,Y4.Sci.Snd.4,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Y4.Sci.Snd.4,unreviewed,mt__00ZSLnB7p,uk-nc-2013:Y4.Sci.Snd.4
https://education.asfai.org/alignments/02cc4292-dc51-565d-9d75-3c3407a05c78,https://education.asfai.org/objectives/b7895115-d15a-5e36-806d-cdfe35cc5af6,relatedTo,ccss-ela,W.8.2.b,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/W.8.2.b,unreviewed,mt_zCUIJLdK_s,ccss-ela:W.8.2.b
https://education.asfai.org/alignments/02eac2dc-724b-55e3-849a-1422d2e80b9f,https://education.asfai.org/objectives/2c74f8a9-35c9-59e0-b108-2e2f9d988705,relatedTo,ccss-ela,L.K.5a,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/L.K.5a,unreviewed,mt_oL9s_bufDp,ccss-ela:L.K.5a
https://education.asfai.org/alignments/03013981-c8c0-58f1-a28e-34b36d981a25,https://education.asfai.org/objectives/efead71c-33f2-5de0-b926-e633ab95a746,relatedTo,uk-nc-2013,Eng.UKS2.Write.Comp.3c,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Eng.UKS2.Write.Comp.3c,unreviewed,mt_pis4novXWQ,uk-nc-2013:Eng.UKS2.Write.Comp.3c
https://education.asfai.org/alignments/0313a965-ce01-534a-9e65-73c054b5517e,https://education.asfai.org/objectives/be4c1413-6687-585b-8808-d9fb6da7e7f9,relatedTo,uk-nc-2013,KS3.Sci.WS.VUSN.3,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/KS3.Sci.WS.VUSN.3,unreviewed,mt_ThTbUuNb3p,uk-nc-2013:KS3.Sci.WS.VUSN.3
https://education.asfai.org/alignments/031adfbd-b90f-5105-9db5-3493be87e509,https://education.asfai.org/objectives/08da9ec8-56cc-552e-a76f-f3bf8f0cd74f,relatedTo,ccss-math,6.NS.1,https://education.asfai.org/frameworks/ccss-math/versions/2010/items/6.NS.1,unreviewed,mt_9Y96vxG_LH,ccss-math:6.NS.1
https://education.asfai.org/alignments/0358bcb3-4500-581c-8ad8-d93ab099d1fa,https://education.asfai.org/objectives/b5e6a349-599b-5dd4-96ea-5c2eb19e9fae,relatedTo,ccss-math,7.NS.2,https://education.asfai.org/frameworks/ccss-math/versions/2010/items/7.NS.2,unreviewed,mt_rxInpOQ74w,ccss-math:7.NS.2
https://education.asfai.org/alignments/0398d5f7-95dc-522e-852c-6ff0f7aa4f2a,https://education.asfai.org/objectives/8e143c41-28e8-5039-a845-3ba358111ae9,relatedTo,ccss-math,K.CC.3,https://education.asfai.org/frameworks/ccss-math/versions/2010/items/K.CC.3,unreviewed,mt_fR0UtsSREU,ccss-math:K.CC.3
https://education.asfai.org/alignments/03b3759f-fbe3-51ae-9918-5c2eb994ae00,https://education.asfai.org/objectives/114c99ef-b43d-51ea-a419-de707f0c9e72,relatedTo,uk-nc-2013,Ma/KS2/Y3/F/1,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Ma%2FKS2%2FY3%2FF%2F1,unreviewed,mt_YzM5goBctT,uk-nc-2013:Ma/KS2/Y3/F/1
https://education.asfai.org/alignments/03e11384-9f6c-52d8-94bb-c55214e6aee4,https://education.asfai.org/objectives/edcc1a87-790e-5fe2-998f-8d6455c4d829,relatedTo,ccss-math,K.CC.5,https://education.asfai.org/frameworks/ccss-math/versions/2010/items/K.CC.5,unreviewed,mt_yqAL6O5i_v,ccss-math:K.CC.5
https://education.asfai.org/alignments/03f04825-6548-58e2-92e9-6d323688afc4,https://education.asfai.org/objectives/8f1fd161-6d5c-58a5-be8f-669df8985c27,relatedTo,ccss-ela,L.3.2c,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/L.3.2c,unreviewed,mt_-mw3JeIjhU,ccss-ela:L.3.2c
https://education.asfai.org/alignments/03f7bc1d-e2e4-56f4-b570-17998ec607cb,https://education.asfai.org/objectives/41b2caaf-e764-5afc-b337-82a2aca5bae9,relatedTo,ngss-ms,MS-PS2-2,https://education.asfai.org/frameworks/ngss-ms/versions/2013/items/MS-PS2-2,unreviewed,mt_q-1a86ydgU,ngss-ms:MS-PS2-2
https://education.asfai.org/alignments/0403e9af-800b-5462-a7bd-6f2ebccdde8d,https://education.asfai.org/objectives/c57a2fa7-5179-5802-8303-34e7547c149f,relatedTo,ccss-math,1.NBT.2.b,https://education.asfai.org/frameworks/ccss-math/versions/2010/items/1.NBT.2.b,unreviewed,mt_xmmgAzxe5j,ccss-math:1.NBT.2.b
https://education.asfai.org/alignments/04262f8f-b7b8-59b9-b1f6-7b275c9fefc6,https://education.asfai.org/objectives/3775d2ef-0cee-5316-9b3c-4d074ba19bd0,relatedTo,ccss-ela,W.K.5,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/W.K.5,unreviewed,mt_OyOYHlZ2_T,ccss-ela:W.K.5
https://education.asfai.org/alignments/043821bc-1a0e-50dc-b42e-1023258ce9de,https://education.asfai.org/objectives/fc8c8503-e33c-5938-aa15-421feff56dd8,relatedTo,uk-nc-2013,Maths/Y1/M/6,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Maths%2FY1%2FM%2F6,unreviewed,mt_zd0YkB3xNj,uk-nc-2013:Maths/Y1/M/6
https://education.asfai.org/alignments/04671d23-874a-52b2-818b-ddada4d64067,https://education.asfai.org/objectives/e520016b-2a3a-578f-a43d-7c0a52bfd42f,relatedTo,uk-nc-2013,Eng/KS1/Y2/H/4,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Eng%2FKS1%2FY2%2FH%2F4,unreviewed,mt_02DH7sGXCi,uk-nc-2013:Eng/KS1/Y2/H/4
https://education.asfai.org/alignments/048a10b5-0be0-5f9c-96d5-8fd50d7a82e8,https://education.asfai.org/objectives/8aaad49c-6de4-519d-9ed7-fd10ce4b5ce2,relatedTo,uk-nc-2013,Y1.Sci.P.1,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Y1.Sci.P.1,unreviewed,mt_j7cer_Nmor,uk-nc-2013:Y1.Sci.P.1
https://education.asfai.org/alignments/04917ea6-afd6-50ac-99fe-252a017ddcc2,https://education.asfai.org/objectives/e78bc0a3-7b91-567f-942b-f7a66172487d,relatedTo,uk-nc-2013,Eng.UKS2.Write.VGP.1d,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Eng.UKS2.Write.VGP.1d,unreviewed,mt_EbiGRVK8uR,uk-nc-2013:Eng.UKS2.Write.VGP.1d
https://education.asfai.org/alignments/04afb652-64f0-5340-ba1e-49500dc79c82,https://education.asfai.org/objectives/cd89dfbc-aa0e-5b20-892c-da503365798f,relatedTo,uk-nc-2013,Y1.Sci.EM.2,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Y1.Sci.EM.2,unreviewed,mt_ZAJvTcroFO,uk-nc-2013:Y1.Sci.EM.2
https://education.asfai.org/alignments/04b9eba2-1525-5229-8f75-a3394eda39f2,https://education.asfai.org/objectives/d32a0e96-d5c9-546b-ac55-cf5ea1f23b8e,relatedTo,uk-nc-2013,KS3.Sci.Phys.MotionAndForces.8,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/KS3.Sci.Phys.MotionAndForces.8,unreviewed,mt_56aspHjU19,uk-nc-2013:KS3.Sci.Phys.MotionAndForces.8
https://education.asfai.org/alignments/04f58e43-0581-59b1-9704-c0569606a9ff,https://education.asfai.org/objectives/4b2d6e97-24cb-5746-9b66-868cdca0d50f,relatedTo,uk-nc-2013,Y3.Sci.R.2,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Y3.Sci.R.2,unreviewed,mt_mwirOvigWD,uk-nc-2013:Y3.Sci.R.2
https://education.asfai.org/alignments/05136826-7cee-5997-93d4-23724355730e,https://education.asfai.org/objectives/6cb10bc9-39ce-5989-8246-517b04e2a7c3,relatedTo,uk-nc-2013,Eng_App1_Y1_29,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Eng_App1_Y1_29,unreviewed,mt_a6m7PqTuJN,uk-nc-2013:Eng_App1_Y1_29
https://education.asfai.org/alignments/051f9008-f165-5409-8a3d-0f1a5c72a400,https://education.asfai.org/objectives/9829409c-6d0c-558e-ada9-1c00aa3e1432,relatedTo,uk-nc-2013,Eng_App1_Y1_04,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Eng_App1_Y1_04,unreviewed,mt_PvU3eoikev,uk-nc-2013:Eng_App1_Y1_04
https://education.asfai.org/alignments/052872b9-c00a-53c5-b84d-34ca64b04ad9,https://education.asfai.org/objectives/03e4e46b-0b1e-55ae-adda-5fc4ece50d62,relatedTo,uk-nc-2013,Y3.Sci.L.3,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Y3.Sci.L.3,unreviewed,mt_3yuqKww2tU,uk-nc-2013:Y3.Sci.L.3
https://education.asfai.org/alignments/058da16a-2c27-5628-a092-db6b61dbe362,https://education.asfai.org/objectives/38d429e1-d760-5b27-b1a4-a908c43e77fb,relatedTo,ngss-ms,MS-PS2-4,https://education.asfai.org/frameworks/ngss-ms/versions/2013/items/MS-PS2-4,unreviewed,mt_sUVeVXzRuq,ngss-ms:MS-PS2-4
https://education.asfai.org/alignments/05aa76d5-99ed-59cd-ac62-d0657d6b746b,https://education.asfai.org/objectives/0a70711f-e42e-5a0d-aece-6d9bae185cc8,relatedTo,ccss-ela,W.8.5,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/W.8.5,unreviewed,mt_av-uRBrhwT,ccss-ela:W.8.5
