id,framework,code,sourceKey,sourceVersion,linkedObjectiveCount,textIncludedInAsfaiPackage,sourceLandingPage
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Anth.8.9-12,c3-social-studies,D2.Anth.8.9-12,c3-social-studies:D2.Anth.8.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Anth.9.9-12,c3-social-studies,D2.Anth.9.9-12,c3-social-studies:D2.Anth.9.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.1.3-5,c3-social-studies,D2.Civ.1.3-5,c3-social-studies:D2.Civ.1.3-5,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.1.6-8,c3-social-studies,D2.Civ.1.6-8,c3-social-studies:D2.Civ.1.6-8,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.1.9-12,c3-social-studies,D2.Civ.1.9-12,c3-social-studies:D2.Civ.1.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.1.K-2,c3-social-studies,D2.Civ.1.K-2,c3-social-studies:D2.Civ.1.K-2,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.10.3-5,c3-social-studies,D2.Civ.10.3-5,c3-social-studies:D2.Civ.10.3-5,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.10.6-8,c3-social-studies,D2.Civ.10.6-8,c3-social-studies:D2.Civ.10.6-8,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.10.9-12,c3-social-studies,D2.Civ.10.9-12,c3-social-studies:D2.Civ.10.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.10.K-2,c3-social-studies,D2.Civ.10.K-2,c3-social-studies:D2.Civ.10.K-2,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.11.3-5,c3-social-studies,D2.Civ.11.3-5,c3-social-studies:D2.Civ.11.3-5,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.11.6-8,c3-social-studies,D2.Civ.11.6-8,c3-social-studies:D2.Civ.11.6-8,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.11.9-12,c3-social-studies,D2.Civ.11.9-12,c3-social-studies:D2.Civ.11.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.11.K-2,c3-social-studies,D2.Civ.11.K-2,c3-social-studies:D2.Civ.11.K-2,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
